postcode,count
 1052 CH,175
 1012 AR,47
 1015 RR,24
 1011 TE,21
 1015 HJ,20
 1053 CC,16
 1052 EJ,16
 1075 VR,16
 Noord-Holland,16
 1013 CR,14
 1032 KJ,14
 1031 BV,12
 1018 CZ,11
 1055 AM,11
 1017 PL,11
 1096 DH,11
 1013 GC,11
 1018 VZ,10
 1073 LL,10
 1018 AK,10
 1022 AB,10
 1073 CV,10
 1051 KP,10
 1091 KG,9
 1013 AZ,9
 1017 EN,9
 1094 HH,9
 1074 VM,9
 1031 KS,9
 1032 LP,9
 1076 CW,8
 1055 SC,8
 1051 MA,8
 1091 DA,8
 1072 SM,8
 1074 JH,8
 1096 GG,8
 1091 EM,8
 1053 WP,8
 1019 BG,8
 1092 AN,8
 1072 LC,8
 1013 MM,8
 1067 HR,8
 1073 BB,7
 1054 TN,7
 1054 AA,7
 1073 ED,7
 1018 WS,7
 1086 VB,7
 1019 AW,7
 1093 VD,7
 1074 HX,7
 1091 EN,7
 1072 XA,7
 1056 BB,7
 1096 BA,7
 1057 JB,7
 1071 AA,7
 1073 EG,7
 1035 RN,7
 1017 XK,7
 1067 WN,7
 1076 CV,6
 1028 AX,6
 1054 ZS,6
 1015 GB,6
 1017 TR,6
 1015 BB,6
 1054 EJ,6
 1013 HB,6
 1019 JV,6
 1057 DN,6
 1032 LV,6
 1019 LJ,6
 1058 AA,6
 1032 KK,6
 1093 NN,6
 1055 AA,6
 1022 KE,6
 1087 DP,6
 1032 KL,6
 1063 GZ,6
 1025 PB,6
 1073 RR,6
 1055 CK,6
 1013 GM,6
 1055 AD,6
 1053 PK,6
 1032 LM,6
 1014 BX,6
 1055 RW,6
 1071 CR,6
 1183 AJ,6
 1071 ZD,6
 1073 TD,5
 1053 SH,5
 1018 CK,5
 1017 XZ,5
 1018 NA,5
 1055 EK,5
 1052 CT,5
 1091 EB,5
 1072 BE,5
 1013 SM,5
 1072 RC,5
 1018 VK,5
 1023 NA,5
 1079 LM,5
 1022 KL,5
 1074 HV,5
 1073 CH,5
 1011 VX,5
 1015 NB,5
 1014 DB,5
 1097 AH,5
 1073 GC,5
 1092 AD,5
 1012 GL,5
