,location,coordinate,,,,
1,"Gemaal Jisperveldstraat, Jisperveldstraat, Noord, Zunderdorp, Amsterdam, Noord-Holland, Nederland, 1024 BC, Nederland","(52.401009, 4.9515278047393405)",,,,
2,"82, Zoutkeetsplein, Zeeheldenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1013 MR, Nederland","(52.3886465, 4.8849671)",,,,
3,"125, Centrale Groothandelsmarkt, Food Center Amsterdam, West, Amsterdam, Noord-Holland, Nederland, 1051 LJ, Nederland","(52.3784157, 4.868362)",,,,
4,"66E, IJsbaanpad, Zuid, Amsterdam, Noord-Holland, Nederland, 1076 CW, Nederland","(52.34091435, 4.8480442456550445)",,,,
5,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",,,,
6,"276, Maassluisstraat, Westlandgracht, Nieuw-West, Amsterdam, Noord-Holland, Nederland, 1062 GM, Nederland","(52.3496149, 4.8358018)",,,,
7,"14, Zanddwarsstraat, Nieuwmarkt/Lastage, Centrum, Amsterdam, Noord-Holland, Nederland, 1011 HP, Nederland","(52.370323, 4.899345)",,,,
8,"Van Gessel Advocaten, 7, Amstelveld, Grachtengordel, Centrum, Amsterdam, Noord-Holland, Nederland, 1017 JD, Nederland","(52.3625768, 4.8980901)",,,,
9,"Soembawastraat, Indische Buurt, Oost, Amsterdam, Noord-Holland, Nederland, 1095 VW, Nederland","(52.3644253, 4.943545118223069)",,,,
10,"617, Keizersgracht, Grachtengordel, Centrum, Amsterdam, Noord-Holland, Nederland, 1017 DS, Nederland","(52.3639102, 4.8938953)",,,,
11,"856, Westerdok, Centrum, Amsterdam, Noord-Holland, Nederland, 1013 BV, Nederland","(52.3874861, 4.8920172)",,,,
12,"22, Heiligeweg, Centrum, Amsterdam, Noord-Holland, Nederland, 1012 XR, Nederland","(52.3677894, 4.8909156)",,,,
