,amenity,length,name,geometry,description
0,restaurant,703.303,Waaghals,POINT (4.889014 52.3571286),Vegetarisch Restaurant De Waaghals
1,cafe,644.2290000000002,Café Americain,POINT (4.8813718 52.3638967),
2,restaurant,542.675,Bollywood Indian Restaurant,POINT (4.8844033 52.3639694),
3,restaurant,542.675,Puri Mas Indonesisch Restaurant,POINT (4.8845382 52.3641036),
4,restaurant,625.788,Brasserie Keyzer,POINT (4.8792088 52.3568126),
5,restaurant,545.967,Small Talk,POINT (4.878408 52.3579755),
6,restaurant,703.303,ISSHIN,POINT (4.8886451 52.3570377),
7,restaurant,425.239,Otaru,POINT (4.8888704 52.3584175),
8,restaurant,311.648,Sama Sebo,POINT (4.8831414 52.3606764),
9,restaurant,557.6410000000001,Maxies,POINT (4.8797621 52.3600875),
10,restaurant,430.877,Hard Rock Cafe,POINT (4.8833077 52.3621869),
11,restaurant,605.9259999999999,Hosokawa,POINT (4.8827502 52.3629202),
12,restaurant,430.266,Wagamama,POINT (4.8831541 52.3625079),
13,restaurant,430.877,Maximus Steak House,POINT (4.8834726 52.3622945),
14,restaurant,520.7120000000001,De Balie,POINT (4.883101 52.36312),
15,cafe,694.4080000000002,Starbucks,POINT (4.8836352 52.3645106),
16,cafe,584.227,Superskunk Coffeeshop,POINT (4.8851485 52.3642612),
17,restaurant,542.675,Piccolino,POINT (4.8852731 52.3636053),
18,restaurant,353.062,Momo,POINT (4.8825862 52.3615027),
19,restaurant,511.86499999999995,Oma,POINT (4.8851836 52.3630587),
20,restaurant,634.0810000000001,Stoop & Stoop Eetcafé,POINT (4.8838952 52.3642795),
21,restaurant,634.0810000000001,Pancake Corner Restaurant,POINT (4.88345 52.3640344),
22,restaurant,522.801,Palladium Restaurant Club,POINT (4.8835286 52.3635772),
23,restaurant,652.3190000000001,Nam Kee,POINT (4.8911961 52.3574253),
24,restaurant,677.5210000000001,de Oesterbar,POINT (4.8827741 52.3647013),
25,restaurant,542.675,Antonio's Restaurante,POINT (4.88489 52.3636482),
26,restaurant,542.675,Bojo,POINT (4.8847921 52.3639322),
27,restaurant,542.675,Chicano's,POINT (4.8847449 52.363749),
28,restaurant,511.86499999999995,De blauwe Hollander,POINT (4.8847235 52.3635484),
29,restaurant,542.675,El Rancho,POINT (4.8845402 52.3638816),
30,restaurant,694.4080000000002,Greek,POINT (4.8841943 52.3643571),
31,restaurant,694.4080000000002,Los Amigos,POINT (4.8842525 52.3642942),
32,restaurant,634.0810000000001,Mimo,POINT (4.8843814 52.3642096),
33,restaurant,542.675,Mykonos,POINT (4.8846815 52.3640102),
34,restaurant,694.4080000000002,O' Sole Mio,POINT (4.8841433 52.3644198),
35,restaurant,511.86499999999995,Peppino,POINT (4.8846075 52.3634912),
36,restaurant,694.4080000000002,Pisa,POINT (4.8839811 52.3644852),
37,restaurant,634.0810000000001,Royal Thai,POINT (4.8842311 52.3641259),
38,restaurant,542.675,Tapas,POINT (4.8849795 52.3637854),
39,restaurant,511.86499999999995,Mr Tong's,POINT (4.8848237 52.3633343),
